title,price_gbp,price_inr,rating,in_stock,category,category_id
It's Only the Himalayas,,,2,True,Travel,4
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,,,4,True,Travel,4
See America: A Celebration of Our National Parks & Treasured Sites,,,3,True,Travel,4
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,,,2,True,Travel,4
Under the Tuscan Sun,,,3,True,Travel,4
A Summer In Europe,,,2,True,Travel,4
The Great Railway Bazaar,,,1,True,Travel,4
A Year in Provence (Provence #1),,,4,True,Travel,4
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),,,1,True,Travel,4
Neither Here nor There: Travels in Europe,,,3,True,Travel,4
"1,000 Places to See Before You Die",,,5,True,Travel,4
Sharp Objects,,,4,True,Mystery,2
"In a Dark, Dark Wood",,,1,True,Mystery,2
The Past Never Ends,,,4,True,Mystery,2
A Murder in Time,,,1,True,Mystery,2
The Murder of Roger Ackroyd (Hercule Poirot #4),,,4,True,Mystery,2
The Last Mile (Amos Decker #2),,,2,True,Mystery,2
That Darkness (Gardiner and Renner #1),,,1,True,Mystery,2
Tastes Like Fear (DI Marnie Rome #3),,,1,True,Mystery,2
A Time of Torment (Charlie Parker #14),,,5,True,Mystery,2
A Study in Scarlet (Sherlock Holmes #1),,,2,True,Mystery,2
Poisonous (Max Revere Novels #3),,,3,True,Mystery,2
Murder at the 42nd Street Library (Raymond Ambler #1),,,4,True,Mystery,2
Most Wanted,,,3,True,Mystery,2
Hide Away (Eve Duncan #20),,,1,True,Mystery,2
Boar Island (Anna Pigeon #19),,,3,True,Mystery,2
The Widow,,,2,True,Mystery,2
Playing with Fire,,,3,True,Mystery,2
What Happened on Beale Street (Secrets of the South Mysteries #2),,,5,True,Mystery,2
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),,,5,True,Mystery,2
Delivering the Truth (Quaker Midwife Mystery #1),,,4,True,Mystery,2
The Mysterious Affair at Styles (Hercule Poirot #1),,,4,True,Mystery,2
In the Woods (Dublin Murder Squad #1),,,2,True,Mystery,2
The Silkworm (Cormoran Strike #2),,,5,True,Mystery,2
The Exiled,,,3,True,Mystery,2
The Cuckoo's Calling (Cormoran Strike #1),,,1,True,Mystery,2
Extreme Prey (Lucas Davenport #26),,,3,True,Mystery,2
Career of Evil (Cormoran Strike #3),,,2,True,Mystery,2
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),,,4,True,Mystery,2
The Girl You Lost,,,5,True,Mystery,2
The Girl In The Ice (DCI Erika Foster #1),,,3,True,Mystery,2
Blood Defense (Samantha Brinkman #1),,,3,True,Mystery,2
1st to Die (Women's Murder Club #1),,,1,True,Mystery,2
Tipping the Velvet,,,1,True,Historical Fiction,1
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,,,3,True,Historical Fiction,1
A Flight of Arrows (The Pathfinders #2),,,5,True,Historical Fiction,1
The House by the Lake,,,1,True,Historical Fiction,1
Mrs. Houdini,,,5,True,Historical Fiction,1
The Marriage of Opposites,,,4,True,Historical Fiction,1
Glory over Everything: Beyond The Kitchen House,,,3,True,Historical Fiction,1
"Love, Lies and Spies",,,2,True,Historical Fiction,1
A Paris Apartment,,,4,True,Historical Fiction,1
Lilac Girls,,,2,True,Historical Fiction,1
The Constant Princess (The Tudor Court #1),,,3,True,Historical Fiction,1
The Invention of Wings,,,1,True,Historical Fiction,1
World Without End (The Pillars of the Earth #2),,,4,True,Historical Fiction,1
The Passion of Dolssa,,,5,True,Historical Fiction,1
Girl With a Pearl Earring,,,1,True,Historical Fiction,1
Voyager (Outlander #3),,,5,True,Historical Fiction,1
The Red Tent,,,5,True,Historical Fiction,1
The Last Painting of Sara de Vos,,,2,True,Historical Fiction,1
The Guernsey Literary and Potato Peel Pie Society,,,1,True,Historical Fiction,1
Girl in the Blue Coat,,,2,True,Historical Fiction,1
Between Shades of Gray,,,5,True,Historical Fiction,1
While You Were Mine,,,5,True,Historical Fiction,1
The Secret Healer,,,3,True,Historical Fiction,1
Starlark,,,3,True,Historical Fiction,1
Lost Among the Living,,,4,True,Historical Fiction,1
A Spy's Devotion (The Regency Spies of London #1),,,5,True,Historical Fiction,1
Mesaerion: The Best Science Fiction Stories 1800-1849,,,1,True,Science Fiction,3
Join,,,5,True,Science Fiction,3
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",,,4,True,Science Fiction,3
The Project,,,1,True,Science Fiction,3
Soft Apocalypse,,,2,True,Science Fiction,3
Sleeping Giants (Themis Files #1),,,1,True,Science Fiction,3
Arena,,,4,True,Science Fiction,3
Foundation (Foundation (Publication Order) #1),,,1,True,Science Fiction,3
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),,,1,True,Science Fiction,3
Ready Player One,,,4,True,Science Fiction,3
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",,,2,True,Science Fiction,3
Dune (Dune #1),,,1,True,Science Fiction,3
Do Androids Dream of Electric Sheep? (Blade Runner #1),,,1,True,Science Fiction,3
Three Wishes (River of Time: California #1),,,2,True,Science Fiction,3
The Last Girl (The Dominion Trilogy #1),,,2,True,Science Fiction,3
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),,,4,True,Science Fiction,3
